id,link,created_at,type,usage,status,payroll,version,payments,sender_id,tax_amount,receiver_id,sender_name,collected_at,invoice_date,invoice_type,payment_type,total_amount,exchange_rate,receiver_name,payment_method,place_of_issue,discount_amount,invoice_details,subtotal_amount,certification_date,invoice_identification,certification_authority
67b1839f-13a9-4c07-a23d-cadf2645f05b,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246920Z,INFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,"[{'date': '2025-06-21T09:38:27.254442', 'amount': 3613.77, 'currency': None, 'payer_rfc': 'A58694E832', 'collected_at': '2025-07-31T12:00:01.957031Z', 'payment_type': '06', 'exchange_rate': None, 'beneficiary_rfc': '7EE5ADDDE', 'payer_bank_name': 'BANK', 'operation_number': '89515177', 'related_documents': [{'currency': None, 'amount_paid': 3613.77, 'installment': '3', 'collected_at': '2025-07-31T12:00:01.822927Z', 'exchange_rate': None, 'payment_method': 'PUE', 'previous_balance': 2701.02, 'outstanding_balance': -912.75, 'invoice_identification': '3a94541c-9b33-98a7-384e-823efb4581b'}], 'payer_account_number': '569168859712', 'beneficiary_account_number': '259955643428'}]",PEVS00050734I,0.0,QUG730330GH6,Emisor 2CD1,2025-07-31T12:00:02.011094Z,2024-01-06,Pago,06,0.0,1,Receptor F967,PUE,11000,0.0,"[{'quantity': 1, 'unit_code': 'ACT', 'tax_amount': 0.0, 'description': 'Pago', 'unit_amount': 0, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 0.0, 'payment_method': None, 'pre_tax_amount': 0, 'retained_taxes': [], 'tax_percentage': 0, 'unit_description': 'Producto 95FB', 'invoice_identification': None, 'product_identification': '84111506', 'payment_type_description': None, 'payment_method_description': None}]",0.0,2025-05-16T09:06:22.620431,4b11e71a-948a-3b5f-3634-9f783d3fc39,f224b774924b3
c57021f2-4055-4d72-84b5-6782a8707b33,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246899Z,INFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,[],REBF170804BSQ,9930.96,EQA860425X3J,Emisor A642,2025-07-31T12:00:02.011094Z,2024-01-27,Traslado,08,70721.51,1,Receptor 9264,PPD,11000,1278.0,"[{'quantity': 5, 'unit_code': 'E48', 'tax_amount': 6459.22, 'description': 'Servicios de mensajería.', 'unit_amount': 8074.03, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 46829.37, 'payment_method': None, 'pre_tax_amount': 40370.15, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 1A74', 'invoice_identification': None, 'product_identification': '715397212', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 4, 'unit_code': 'E48', 'tax_amount': 3471.74, 'description': 'Servicios de mensajería.', 'unit_amount': 5424.6, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 25170.14, 'payment_method': None, 'pre_tax_amount': 21698.4, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 5FE2', 'invoice_identification': None, 'product_identification': '189569993', 'payment_type_description': None, 'payment_method_description': None}]",62068.55,2025-07-06T03:37:11.877383,fb12ad63-6c12-47bf-5565-b1e6b335a25,dacdbadfabdfe
1c0b33b0-9b06-4ccc-a354-44aca5b772b3,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246878Z,OUTFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,[],WONZ231224NY5,14239.24,NYJ5408229ZF,Emisor C5AD,2025-07-31T12:00:02.011094Z,2024-01-16,Egreso,12,90190.51,1,Receptor EFFA,PPD,11000,13044.0,"[{'quantity': 9, 'unit_code': 'E48', 'tax_amount': 10116.82, 'description': 'Servicios de mensajería.', 'unit_amount': 7025.57, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 73346.95, 'payment_method': None, 'pre_tax_amount': 63230.13, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 1457', 'invoice_identification': None, 'product_identification': '874519674', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 3, 'unit_code': 'E48', 'tax_amount': 4122.42, 'description': 'Servicios de mensajería.', 'unit_amount': 8588.38, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 29887.56, 'payment_method': None, 'pre_tax_amount': 25765.14, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 53C6', 'invoice_identification': None, 'product_identification': '517669699', 'payment_type_description': None, 'payment_method_description': None}]",88995.27,2025-05-25T04:32:15.287479,fddc6c3d-ba7e-1627-72f7-fc8ae9314e5,2788274f4e78c
72248a88-5ae1-4860-9e1c-d003f14264f1,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246857Z,OUTFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,"[{'date': '2025-05-08T18:24:52.975934', 'amount': 5487.53, 'currency': None, 'payer_rfc': '87538594A1', 'collected_at': '2025-07-31T12:00:01.957031Z', 'payment_type': '27', 'exchange_rate': None, 'beneficiary_rfc': '373FA9ED5', 'payer_bank_name': 'BANK', 'operation_number': '97622316', 'related_documents': [{'currency': None, 'amount_paid': 5487.53, 'installment': '7', 'collected_at': '2025-07-31T12:00:01.822927Z', 'exchange_rate': None, 'payment_method': 'PPD', 'previous_balance': 5151.3, 'outstanding_balance': -336.23, 'invoice_identification': '5de58c63-6c94-54ec-82fc-95c59c12827'}], 'payer_account_number': '126327657737', 'beneficiary_account_number': '979627475629'}]",QIMV571204G07,0.0,XQI850620HXS,Emisor 465F,2025-07-31T12:00:02.011094Z,2024-01-15,Pago,27,0.0,1,Receptor 8342,PPD,11000,0.0,"[{'quantity': 1, 'unit_code': 'ACT', 'tax_amount': 0.0, 'description': 'Pago', 'unit_amount': 0, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 0.0, 'payment_method': None, 'pre_tax_amount': 0, 'retained_taxes': [], 'tax_percentage': 0, 'unit_description': 'Producto B241', 'invoice_identification': None, 'product_identification': '84111506', 'payment_type_description': None, 'payment_method_description': None}]",0.0,2025-06-28T02:01:29.781181,fe81c6c3-aa6c-ebc1-61db-38ad5d9fbce,9b3ee1e62c814
5d65feea-e140-496c-927d-085975a492a5,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246835Z,OUTFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,[],HEAA771128VCX,10516.94,EEM0507226F7,Emisor 97D8,2025-07-31T12:00:02.011094Z,2024-01-21,Ingreso,99,66821.84,1,Receptor 1BAE,PPD,11000,9426.0,"[{'quantity': 1, 'unit_code': 'E48', 'tax_amount': 348.11, 'description': 'Servicios de mensajería.', 'unit_amount': 2175.69, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 2523.8, 'payment_method': None, 'pre_tax_amount': 2175.69, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 99DD', 'invoice_identification': None, 'product_identification': '832887586', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 9, 'unit_code': 'E48', 'tax_amount': 10168.83, 'description': 'Servicios de mensajería.', 'unit_amount': 7061.69, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 73724.04, 'payment_method': None, 'pre_tax_amount': 63555.21, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto F935', 'invoice_identification': None, 'product_identification': '144619997', 'payment_type_description': None, 'payment_method_description': None}]",65730.9,2025-07-13T08:50:14.313874,be296788-b2f2-1688-96a4-5497188d74e,fe5865f14f5fc
3431292d-11a7-4b48-97f9-5b1682a48bdc,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246814Z,OUTFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,[],YECU7805217FC,21266.25,HHW521208OY2,Emisor C229,2025-07-31T12:00:02.011094Z,2024-01-16,Ingreso,05,140252.33,1,Receptor 69A3,PUE,11000,13928.0,"[{'quantity': 1, 'unit_code': 'E48', 'tax_amount': 1151.61, 'description': 'Servicios de mensajería.', 'unit_amount': 7197.58, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 8349.19, 'payment_method': None, 'pre_tax_amount': 7197.58, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto F119', 'invoice_identification': None, 'product_identification': '528333933', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 9, 'unit_code': 'E48', 'tax_amount': 4107.9, 'description': 'Servicios de mensajería.', 'unit_amount': 2852.71, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 29782.29, 'payment_method': None, 'pre_tax_amount': 25674.39, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 7761', 'invoice_identification': None, 'product_identification': '587968728', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 7, 'unit_code': 'E48', 'tax_amount': 5025.9, 'description': 'Servicios de mensajería.', 'unit_amount': 4487.41, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 36437.77, 'payment_method': None, 'pre_tax_amount': 31411.87, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto E75E', 'invoice_identification': None, 'product_identification': '826572824', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 7, 'unit_code': 'E48', 'tax_amount': 10980.84, 'description': 'Servicios de mensajería.', 'unit_amount': 9804.32, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 79611.08, 'payment_method': None, 'pre_tax_amount': 68630.24, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto AA69', 'invoice_identification': None, 'product_identification': '292336931', 'payment_type_description': None, 'payment_method_description': None}]",132914.08,2025-07-08T17:33:23.785553,43926878-2b66-c679-6146-a83973df1be,18cbdd4569b69
905396f2-24b5-4d63-a3fd-77e0469d6c64,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246793Z,INFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,[],AALF131218MV5,12184.6,WOJ130316T6Q,Emisor 191B,2025-07-31T12:00:02.011094Z,2024-01-14,Egreso,06,63849.33,1,Receptor DDAA,PPD,11000,24489.0,"[{'quantity': 5, 'unit_code': 'E48', 'tax_amount': 1935.88, 'description': 'Servicios de mensajería.', 'unit_amount': 2419.85, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 14035.13, 'payment_method': None, 'pre_tax_amount': 12099.25, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 3BAA', 'invoice_identification': None, 'product_identification': '172927886', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 8, 'unit_code': 'E48', 'tax_amount': 10248.72, 'description': 'Servicios de mensajería.', 'unit_amount': 8006.81, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 74303.2, 'payment_method': None, 'pre_tax_amount': 64054.48, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 5DEE', 'invoice_identification': None, 'product_identification': '768822981', 'payment_type_description': None, 'payment_method_description': None}]",76153.73,2025-05-08T03:23:14.370521,bf3b62f9-f7bf-a324-9cef-5e82a3c5c2b,51af49fdf2dcd
8933dedc-6383-4e67-bbc8-da6873a0545a,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246771Z,OUTFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,[],SEOI220716GOE,13026.73,DUP301028B7I,Emisor 3A58,2025-07-31T12:00:02.011094Z,2024-01-08,Traslado,29,74797.77,1,Receptor 774F,PPD,11000,19646.0,"[{'quantity': 8, 'unit_code': 'E48', 'tax_amount': 6872.05, 'description': 'Servicios de mensajería.', 'unit_amount': 5368.79, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 49822.37, 'payment_method': None, 'pre_tax_amount': 42950.32, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto B67D', 'invoice_identification': None, 'product_identification': '731252348', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 6, 'unit_code': 'E48', 'tax_amount': 6154.68, 'description': 'Servicios de mensajería.', 'unit_amount': 6411.12, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 44621.4, 'payment_method': None, 'pre_tax_amount': 38466.72, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto BAD8', 'invoice_identification': None, 'product_identification': '828741223', 'payment_type_description': None, 'payment_method_description': None}]",81417.04,2025-06-06T21:02:45.744998,ac69bdaa-a7d9-fe96-79ba-936ce2544c6,bcb7c26accb1c
b6bc8e5a-5ebe-4af0-bd34-41a336a75683,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246750Z,INFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,[],UUIO9803199CJ,15499.1,IAG550604OKH,Emisor 173E,2025-07-31T12:00:02.011094Z,2024-01-15,Traslado,25,73515.45,1,Receptor 4664,PPD,11000,38853.0,"[{'quantity': 8, 'unit_code': 'E48', 'tax_amount': 5023.23, 'description': 'Servicios de mensajería.', 'unit_amount': 3924.4, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 36418.43, 'payment_method': None, 'pre_tax_amount': 31395.2, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 6F5C', 'invoice_identification': None, 'product_identification': '554726546', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 6, 'unit_code': 'E48', 'tax_amount': 5301.1, 'description': 'Servicios de mensajería.', 'unit_amount': 5521.98, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 38432.98, 'payment_method': None, 'pre_tax_amount': 33131.88, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 7BFC', 'invoice_identification': None, 'product_identification': '347865566', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 2, 'unit_code': 'E48', 'tax_amount': 2333.08, 'description': 'Servicios de mensajería.', 'unit_amount': 7290.86, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 16914.8, 'payment_method': None, 'pre_tax_amount': 14581.72, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 419A', 'invoice_identification': None, 'product_identification': '471589478', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 8, 'unit_code': 'E48', 'tax_amount': 2073.93, 'description': 'Servicios de mensajería.', 'unit_amount': 1620.26, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 15036.01, 'payment_method': None, 'pre_tax_amount': 12962.08, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto C7E9', 'invoice_identification': None, 'product_identification': '869192796', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 1, 'unit_code': 'E48', 'tax_amount': 767.76, 'description': 'Servicios de mensajería.', 'unit_amount': 4798.47, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 5566.23, 'payment_method': None, 'pre_tax_amount': 4798.47, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto BBB5', 'invoice_identification': None, 'product_identification': '744387993', 'payment_type_description': None, 'payment_method_description': None}]",96869.35,2025-06-27T07:02:38.463977,6f8ade85-1ed2-ce6a-3a57-cbde5ea5c5b,1d952a843a467
78c5807c-069e-455d-877f-84b8c4c4fe33,c4432b21-b248-4bff-ab46-05ec06a22da1,2025-07-31T12:00:44.246729Z,INFLOW,G03,Vigent,"{'days': None, 'type': None, 'amount': 40.2, 'date_to': '2025-05-13', 'version': '1.2', 'date_from': '2025-07-29', 'periodicity': 'WEEKLY', 'collected_at': '2025-07-31T12:00:01.819808Z', 'payment_date': '2025-07-30', 'other_payments': [], 'tax_deductions': [], 'earnings_breakdown': []}",3.3,[],NOSO970105IM7,4946.84,BDQ700504UQZ,Emisor F147,2025-07-31T12:00:02.011094Z,2024-01-26,Ingreso,14,29974.65,1,Receptor C592,PPD,11000,5890.0,"[{'quantity': 4, 'unit_code': 'E48', 'tax_amount': 2037.32, 'description': 'Servicios de mensajería.', 'unit_amount': 3183.32, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 14770.6, 'payment_method': None, 'pre_tax_amount': 12733.28, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto 7ED3', 'invoice_identification': None, 'product_identification': '763744837', 'payment_type_description': None, 'payment_method_description': None}, {'quantity': 7, 'unit_code': 'E48', 'tax_amount': 2909.52, 'description': 'Servicios de mensajería.', 'unit_amount': 2597.79, 'collected_at': '2025-07-31T12:00:01.821589Z', 'expense_type': None, 'payment_type': None, 'total_amount': 21094.05, 'payment_method': None, 'pre_tax_amount': 18184.53, 'retained_taxes': [], 'tax_percentage': 16.0, 'unit_description': 'Producto F593', 'invoice_identification': None, 'product_identification': '435299617', 'payment_type_description': None, 'payment_method_description': None}]",30917.81,2025-07-15T21:13:42.505199,8891bd85-acb2-118b-e464-ebbf9a7e8da,69be272111297
